family,sample_index,seed,policy,compilation_successful,ssim,coordinate_error,coordinate_points_compared,emitted_primitives,token_ged,graph_ged,token_overlap,predicted_family,is_line_segment_collapsed,total_length,length_to_eos,has_eos,unk_count,raw_unbalanced_parens,san_unbalanced_parens,tex_error
line_segment,70,42070,beam_search,True,0.7244,0.5994,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,71,42071,greedy,True,0.3957,0.5112,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,71,42071,beam_search,True,0.3957,0.5112,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,72,42072,greedy,True,0.5944,0.7651,2,draw,0.9318,1.0000,0.1111,line_segment,False,46,46,True,0,0,0,
line_segment,72,42072,beam_search,True,0.6797,0.3984,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,73,42073,greedy,True,0.7618,0.5736,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,73,42073,beam_search,True,0.9655,0.7277,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,74,42074,greedy,True,0.3525,0.5301,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,74,42074,beam_search,True,0.4369,0.5325,2,draw,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,75,42075,greedy,True,0.3410,0.1823,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,75,42075,beam_search,True,0.9329,0.2018,2,draw,0.8636,1.0000,0.1429,line_segment,False,24,24,True,0,0,0,
line_segment,76,42076,greedy,True,0.9649,0.5530,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,76,42076,beam_search,True,0.9649,0.5530,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,77,42077,greedy,True,0.9332,0.3044,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,77,42077,beam_search,True,0.9332,0.3044,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
